East,North,dist
0.0,0.0,0.0
5.0,0.0,5.0
10.0,0.0,10.0
15.0,0.0,15.0
20.0,0.0,20.0
25.0,0.0,25.0
30.0,0.0,30.0
35.0,0.0,35.0
40.0,0.0,40.0
45.0,0.0,45.0
50.0,0.0,50.0
55.0,0.0,55.0
60.0,0.0,60.0
65.0,0.0,65.0
70.0,0.0,70.0
75.0,0.0,75.0
80.0,0.0,80.0
85.0,0.0,85.0
90.0,0.0,90.0
95.0,0.0,95.0
100.0,0.0,100.0
100.0,4.999999999999998,105.0
100.0,9.999999999999996,110.0
96.11111111111111,11.11111111111111,115.0
91.11111111111111,11.11111111111111,120.0
86.11111111111111,11.11111111111111,125.0
81.11111111111111,11.11111111111111,130.0
76.11111111111111,11.11111111111111,135.0
71.11111111111111,11.11111111111111,140.0
66.11111111111111,11.11111111111111,145.0
61.111111111111114,11.11111111111111,150.0
56.111111111111114,11.11111111111111,155.0
51.111111111111114,11.11111111111111,160.0
46.111111111111114,11.11111111111111,165.0
41.111111111111114,11.11111111111111,170.0
36.111111111111114,11.11111111111111,175.0
31.111111111111114,11.11111111111111,180.0
26.111111111111114,11.11111111111111,185.0
21.111111111111114,11.11111111111111,190.0
16.111111111111114,11.11111111111111,195.0
11.111111111111114,11.11111111111111,200.0
6.111111111111114,11.11111111111111,205.0
1.1111111111111143,11.11111111111111,210.0
0.0,14.999999999999995,215.0
0.0,19.999999999999993,220.0
2.7777777777777715,22.22222222222222,225.0
7.7777777777777715,22.22222222222222,230.0
12.777777777777771,22.22222222222222,235.0
17.77777777777777,22.22222222222222,240.0
22.77777777777777,22.22222222222222,245.0
27.77777777777777,22.22222222222222,250.0
32.77777777777777,22.22222222222222,255.0
37.77777777777777,22.22222222222222,260.0
42.77777777777777,22.22222222222222,265.0
47.77777777777777,22.22222222222222,270.0
52.77777777777777,22.22222222222222,275.0
57.77777777777777,22.22222222222222,280.0
62.77777777777777,22.22222222222222,285.0
67.77777777777777,22.22222222222222,290.0
72.77777777777777,22.22222222222222,295.0
77.77777777777777,22.22222222222222,300.0
82.77777777777777,22.22222222222222,305.0
87.77777777777777,22.22222222222222,310.0
92.77777777777777,22.22222222222222,315.0
97.77777777777777,22.22222222222222,320.0
100.0,25.0,325.0
100.0,30.000000000000007,330.0
98.33333333333331,33.33333333333333,335.0
93.33333333333331,33.33333333333333,340.0
88.33333333333331,33.33333333333333,345.0
83.33333333333331,33.33333333333333,350.0
78.33333333333331,33.33333333333333,355.0
73.33333333333331,33.33333333333333,360.0
68.33333333333331,33.33333333333333,365.0
63.333333333333314,33.33333333333333,370.0
58.333333333333314,33.33333333333333,375.0
53.333333333333314,33.33333333333333,380.0
48.333333333333314,33.33333333333333,385.0
43.333333333333314,33.33333333333333,390.0
38.333333333333314,33.33333333333333,395.0
33.333333333333314,33.33333333333333,400.0
28.333333333333314,33.33333333333333,405.0
23.333333333333314,33.33333333333333,410.0
18.333333333333314,33.33333333333333,415.0
13.333333333333314,33.33333333333333,420.0
8.333333333333314,33.33333333333333,425.0
3.3333333333333144,33.33333333333333,430.0
0.0,35.00000000000001,435.0
0.0,40.0,440.0
0.5555555555555429,44.44444444444444,445.0
5.555555555555543,44.44444444444444,450.0
10.555555555555543,44.44444444444444,455.0
15.555555555555543,44.44444444444444,460.0
20.555555555555543,44.44444444444444,465.0
25.555555555555543,44.44444444444444,470.0
30.555555555555543,44.44444444444444,475.0
35.55555555555554,44.44444444444444,480.0
40.55555555555554,44.44444444444444,485.0
45.55555555555554,44.44444444444444,490.0
50.55555555555554,44.44444444444444,495.0
55.55555555555554,44.44444444444444,500.0
60.55555555555554,44.44444444444444,505.0
65.55555555555554,44.44444444444444,510.0
70.55555555555554,44.44444444444444,515.0
75.55555555555554,44.44444444444444,520.0
80.55555555555554,44.44444444444444,525.0
85.55555555555554,44.44444444444444,530.0
90.55555555555554,44.44444444444444,535.0
95.55555555555554,44.44444444444444,540.0
100.0,44.999999999999986,545.0
100.0,50.0,550.0
100.0,55.000000000000014,555.0
95.55555555555554,55.55555555555556,560.0
90.55555555555554,55.55555555555556,565.0
85.55555555555554,55.55555555555556,570.0
80.55555555555554,55.55555555555556,575.0
75.55555555555554,55.55555555555556,580.0
70.55555555555554,55.55555555555556,585.0
65.55555555555554,55.55555555555556,590.0
60.55555555555554,55.55555555555556,595.0
55.55555555555554,55.55555555555556,600.0
50.55555555555554,55.55555555555556,605.0
45.55555555555554,55.55555555555556,610.0
40.55555555555554,55.55555555555556,615.0
35.55555555555554,55.55555555555556,620.0
30.555555555555543,55.55555555555556,625.0
25.555555555555543,55.55555555555556,630.0
20.555555555555543,55.55555555555556,635.0
15.555555555555543,55.55555555555556,640.0
10.555555555555543,55.55555555555556,645.0
5.555555555555543,55.55555555555556,650.0
0.5555555555555429,55.55555555555556,655.0
0.0,60.00000000000002,660.0
0.0,65.00000000000003,665.0
3.3333333333333712,66.66666666666666,670.0
8.333333333333371,66.66666666666666,675.0
13.333333333333371,66.66666666666666,680.0
18.33333333333337,66.66666666666666,685.0
23.33333333333337,66.66666666666666,690.0
28.33333333333337,66.66666666666666,695.0
33.33333333333337,66.66666666666666,700.0
38.33333333333337,66.66666666666666,705.0
43.33333333333337,66.66666666666666,710.0
48.33333333333337,66.66666666666666,715.0
53.33333333333337,66.66666666666666,720.0
58.33333333333337,66.66666666666666,725.0
63.33333333333337,66.66666666666666,730.0
68.33333333333337,66.66666666666666,735.0
73.33333333333337,66.66666666666666,740.0
78.33333333333337,66.66666666666666,745.0
83.33333333333337,66.66666666666666,750.0
88.33333333333337,66.66666666666666,755.0
93.33333333333337,66.66666666666666,760.0
98.33333333333337,66.66666666666666,765.0
100.0,70.00000000000004,770.0
100.0,75.00000000000006,775.0
97.77777777777771,77.77777777777777,780.0
92.77777777777771,77.77777777777777,785.0
87.77777777777771,77.77777777777777,790.0
82.77777777777771,77.77777777777777,795.0
77.77777777777771,77.77777777777777,800.0
72.77777777777771,77.77777777777777,805.0
67.77777777777771,77.77777777777777,810.0
62.777777777777715,77.77777777777777,815.0
57.777777777777715,77.77777777777777,820.0
52.777777777777715,77.77777777777777,825.0
47.777777777777715,77.77777777777777,830.0
42.777777777777715,77.77777777777777,835.0
37.777777777777715,77.77777777777777,840.0
32.777777777777715,77.77777777777777,845.0
27.777777777777715,77.77777777777777,850.0
22.777777777777715,77.77777777777777,855.0
17.777777777777715,77.77777777777777,860.0
12.777777777777715,77.77777777777777,865.0
7.777777777777715,77.77777777777777,870.0
2.7777777777777146,77.77777777777777,875.0
0.0,80.00000000000006,880.0
0.0,85.00000000000007,885.0
1.1111111111111995,88.88888888888889,890.0
6.1111111111111995,88.88888888888889,895.0
11.1111111111112,88.88888888888889,900.0
16.1111111111112,88.88888888888889,905.0
21.1111111111112,88.88888888888889,910.0
26.1111111111112,88.88888888888889,915.0
31.1111111111112,88.88888888888889,920.0
36.1111111111112,88.88888888888889,925.0
41.1111111111112,88.88888888888889,930.0
46.1111111111112,88.88888888888889,935.0
51.1111111111112,88.88888888888889,940.0
56.1111111111112,88.88888888888889,945.0
61.1111111111112,88.88888888888889,950.0
66.1111111111112,88.88888888888889,955.0
71.1111111111112,88.88888888888889,960.0
76.1111111111112,88.88888888888889,965.0
81.1111111111112,88.88888888888889,970.0
86.1111111111112,88.88888888888889,975.0
91.1111111111112,88.88888888888889,980.0
96.1111111111112,88.88888888888889,985.0
100.0,90.00000000000009,990.0
100.0,95.0000000000001,995.0
99.99999999999989,100.0,1000.0
94.99999999999989,100.0,1005.0
89.9999999999999,100.0,1010.0
84.9999999999999,100.0,1015.0
79.99999999999991,100.0,1020.0
74.99999999999991,100.0,1025.0
69.99999999999991,100.0,1030.0
64.99999999999991,100.0,1035.0
59.99999999999993,100.0,1040.0
54.999999999999936,100.0,1045.0
49.99999999999994,100.0,1050.0
44.99999999999995,100.0,1055.0
39.99999999999995,100.0,1060.0
34.99999999999996,100.0,1065.0
29.999999999999957,100.0,1070.0
24.99999999999997,100.0,1075.0
19.99999999999997,100.0,1080.0
14.999999999999986,100.0,1085.0
9.999999999999986,100.0,1090.0
4.999999999999986,100.0,1095.0
0.0,100.0,1100.0
